freq            ,ref_ind         ,epsilon_r       ,epsilon_i     
+1.95896434e+012,2.162,4.674244,0
+1.96384954e+012,2.162,4.674244,0
+1.96873473e+012,2.162,4.674244,0
+1.97361993e+012,2.162,4.674244,0
+1.97850513e+012,2.162,4.674244,0
+1.98339033e+012,2.162,4.674244,0
+1.98827553e+012,2.162,4.674244,0
+1.99316072e+012,2.162,4.674244,0
+1.99804592e+012,2.162,4.674244,0
+2.00293112e+012,2.162,4.674244,0
+2.00781632e+012,2.162,4.674244,0
