,freq,eps_r_old,epsilon_i,epsilon_r
314,82850000000,2.1508839666,0.0086301642,2.3
315,82875000000,2.1511163399,0.008589952,2.3
316,82900000000,2.1513450654,0.0085575609,2.3
317,82925000000,2.1515698974,0.0085327318,2.3
318,82950000000,2.1517906056,0.0085151972,2.3
319,82975000000,2.1520069754,0.0085046818,2.3
320,83000000000,2.1522188083,0.0085009035,2.3
321,83025000000,2.1524259219,0.0085035742,2.3
322,83050000000,2.1526281502,0.0085124003,2.3
323,83075000000,2.1528253434,0.0085270839,2.3
324,83100000000,2.1530173683,0.0085473233,2.3
325,83125000000,2.1532041079,0.0085728139,2.3
326,83150000000,2.1533854618,0.0086032493,2.3
327,83175000000,2.1535613457,0.0086383215,2.3
328,83200000000,2.1537316916,0.0086777221,2.3
329,83225000000,2.1538964475,0.0087211429,2.3
330,83250000000,2.1540555773,0.0087682771,2.3
331,83275000000,2.1542090603,0.0088188192,2.3
332,83300000000,2.1543568915,0.0088724665,2.3
333,83325000000,2.1544990805,0.0089289197,2.3
334,83350000000,2.1546356519,0.0089878832,2.3
335,83375000000,2.1547666444,0.0090490662,2.3
336,83400000000,2.154892111,0.0091121832,2.3
337,83425000000,2.1550121177,0.0091769546,2.3
338,83450000000,2.1551267438,0.0092431074,2.3
339,83475000000,2.1552360811,0.0093103759,2.3
340,83500000000,2.1553402334,0.009378502,2.3
341,83525000000,2.1554393159,0.0094472358,2.3
342,83550000000,2.1555334549,0.0095163363,2.3
343,83575000000,2.1556227868,0.0095855717,2.3
344,83600000000,2.1557074579,0.00965472,2.3
345,83625000000,2.1557876234,0.0097235691,2.3
346,83650000000,2.1558634471,0.0097919176,2.3
347,83675000000,2.1559351005,0.0098595748,2.3
348,83700000000,2.1560027623,0.0099263612,2.3
349,83725000000,2.1560666176,0.0099921087,2.3
350,83750000000,2.1561268572,0.0100566609,2.3
351,83775000000,2.1561836771,0.0101198731,2.3
352,83800000000,2.1562372776,0.0101816129,2.3
353,83825000000,2.1562878627,0.0102417599,2.3
354,83850000000,2.1563356393,0.0103002058,2.3
355,83875000000,2.1563808167,0.010356855,2.3
356,83900000000,2.1564236057,0.010411624,2.3
357,83925000000,2.1564642179,0.0104644416,2.3
358,83950000000,2.1565028653,0.0105152489,2.3
359,83975000000,2.1565397593,0.0105639994,2.3
360,84000000000,2.1565751102,0.0106106585,2.3
361,84025000000,2.1566091266,0.0106552035,2.3
362,84050000000,2.1566420146,0.0106976235,2.3
363,84075000000,2.1566739772,0.0107379193,2.3
364,84100000000,2.1567052139,0.0107761028,2.3
365,84125000000,2.15673592,0.010812197,2.3
366,84150000000,2.1567662859,0.0108462357,2.3
367,84175000000,2.1567964967,0.0108782628,2.3
368,84200000000,2.1568267318,0.0109083328,2.3
369,84225000000,2.1568571641,0.0109365093,2.3
370,84250000000,2.1568879599,0.0109628654,2.3
371,84275000000,2.1569192781,0.0109874832,2.3
372,84300000000,2.15695127,0.0110104529,2.3
373,84325000000,2.156984079,0.0110318728,2.3
374,84350000000,2.15701784,0.0110518488,2.3
375,84375000000,2.1570526792,0.0110704934,2.3
376,84400000000,2.1570887139,0.0110879259,2.3
377,84425000000,2.1571260521,0.0111042714,2.3
378,84450000000,2.1571647923,0.0111196605,2.3
379,84475000000,2.1572050234,0.0111342284,2.3
380,84500000000,2.1572468243,0.0111481151,2.3
381,84525000000,2.1572902641,0.0111614639,2.3
382,84550000000,2.1573354016,0.0111744217,2.3
383,84575000000,2.1573822858,0.0111871378,2.3
384,84600000000,2.1574309551,0.0111997639,2.3
385,84625000000,2.1574814379,0.0112124531,2.3
386,84650000000,2.1575337526,0.0112253594,2.3
387,84675000000,2.157587907,0.0112386376,2.3
388,84700000000,2.1576438994,0.0112524422,2.3
389,84725000000,2.1577017177,0.011266927,2.3
390,84750000000,2.1577613404,0.0112822451,2.3
391,84775000000,2.1578227361,0.0112985475,2.3
392,84800000000,2.157885864,0.0113159833,2.3
393,84825000000,2.1579506743,0.0113346991,2.3
394,84850000000,2.158017108,0.0113548382,2.3
395,84875000000,2.1580850976,0.0113765404,2.3
396,84900000000,2.158154567,0.0113999416,2.3
397,84925000000,2.1582254321,0.0114251733,2.3
398,84950000000,2.1582976011,0.011452362,2.3
399,84975000000,2.1583709748,0.0114816293,2.3
400,85000000000,2.1584454468,0.011513091,2.3
401,85025000000,2.1585209042,0.0115468571,2.3
402,85050000000,2.1585972278,0.0115830314,2.3
403,85075000000,2.1586742926,0.0116217111,2.3
404,85100000000,2.1587519683,0.0116629868,2.3
405,85125000000,2.1588301194,0.0117069419,2.3
406,85150000000,2.158908606,0.0117536525,2.3
407,85175000000,2.1589872842,0.0118031873,2.3
408,85200000000,2.1590660065,0.0118556073,2.3
409,85225000000,2.1591446221,0.0119109659,2.3
410,85250000000,2.1592229779,0.0119693083,2.3
411,85275000000,2.1593009182,0.0120306718,2.3
412,85300000000,2.159378286,0.0120950856,2.3
413,85325000000,2.1594549227,0.0121625706,2.3
414,85350000000,2.1595306694,0.0122331397,2.3
415,85375000000,2.1596053665,0.0123067975,2.3
416,85400000000,2.1596788548,0.0123835403,2.3
417,85425000000,2.1597509759,0.0124633565,2.3
418,85450000000,2.1598215722,0.0125462262,2.3
419,85475000000,2.1598904879,0.0126321218,2.3
420,85500000000,2.1599575692,0.0127210075,2.3
421,85525000000,2.1600226646,0.01281284,2.3
422,85550000000,2.1600856256,0.0129075683,2.3
423,85575000000,2.1601463068,0.013005134,2.3
424,85600000000,2.1602045667,0.0131054716,2.3
425,85625000000,2.1602602676,0.0132085085,2.3
426,85650000000,2.1603132762,0.0133141653,2.3
427,85675000000,2.1603634641,0.0134223563,2.3
428,85700000000,2.1604107079,0.0135329893,2.3
429,85725000000,2.1604548894,0.0136459661,2.3
430,85750000000,2.1604958965,0.0137611832,2.3
431,85775000000,2.1605336225,0.0138785315,2.3
432,85800000000,2.1605679673,0.0139978966,2.3
433,85825000000,2.1605988371,0.0141191599,2.3
434,85850000000,2.1606261448,0.0142421981,2.3
435,85875000000,2.1606498099,0.014366884,2.3
436,85900000000,2.1606697591,0.0144930868,2.3
437,85925000000,2.1606859263,0.0146206722,2.3
438,85950000000,2.1606982526,0.0147495032,2.3
439,85975000000,2.1607066864,0.0148794402,2.3
440,86000000000,2.1607111835,0.0150103414,2.3
441,86025000000,2.1607117076,0.0151420633,2.3
442,86050000000,2.1607082294,0.0152744609,2.3
443,86075000000,2.1607007275,0.0154073884,2.3
444,86100000000,2.160689188,0.0155406991,2.3
445,86125000000,2.1606736044,0.0156742462,2.3
446,86150000000,2.1606539777,0.015807883,2.3
447,86175000000,2.1606303164,0.0159414633,2.3
448,86200000000,2.1606026362,0.0160748418,2.3
449,86225000000,2.1605709599,0.0162078743,2.3
450,86250000000,2.1605353174,0.0163404183,2.3
451,86275000000,2.1604957454,0.0164723329,2.3
452,86300000000,2.1604522875,0.0166034799,2.3
453,86325000000,2.1604049935,0.0167337232,2.3
454,86350000000,2.1603539198,0.0168629299,2.3
455,86375000000,2.1602991287,0.0169909699,2.3
456,86400000000,2.1602406884,0.0171177169,2.3
457,86425000000,2.1601786725,0.0172430479,2.3
458,86450000000,2.1601131601,0.0173668441,2.3
459,86475000000,2.1600442352,0.0174889908,2.3
460,86500000000,2.1599719867,0.0176093777,2.3
461,86525000000,2.1598965076,0.017727899,2.3
462,86550000000,2.1598178953,0.0178444538,2.3
463,86575000000,2.1597362508,0.017958946,2.3
464,86600000000,2.1596516785,0.0180712848,2.3
465,86625000000,2.1595642863,0.0181813843,2.3
466,86650000000,2.1594741843,0.0182891641,2.3
467,86675000000,2.1593814854,0.0183945494,2.3
468,86700000000,2.1592863046,0.0184974705,2.3
469,86725000000,2.1591887584,0.0185978634,2.3
470,86750000000,2.1590889648,0.01869567,2.3
471,86775000000,2.1589870429,0.0187908372,2.3
472,86800000000,2.1588831123,0.0188833179,2.3
473,86825000000,2.1587772932,0.0189730706,2.3
474,86850000000,2.1586697055,0.019060059,2.3
475,86875000000,2.1585604692,0.0191442527,2.3
476,86900000000,2.1584497031,0.0192256264,2.3
477,86925000000,2.1583375256,0.0193041601,2.3
478,86950000000,2.1582240534,0.0193798393,2.3
479,86975000000,2.1581094018,0.0194526544,2.3
480,87000000000,2.1579936843,0.0195226008,2.3
481,87025000000,2.1578770121,0.0195896786,2.3
482,87050000000,2.1577594941,0.0196538928,2.3
483,87075000000,2.1576412366,0.0197152525,2.3
484,87100000000,2.1575223429,0.0197737716,2.3
485,87125000000,2.1574029132,0.0198294677,2.3
486,87150000000,2.1572830444,0.0198823623,2.3
487,87175000000,2.15716283,0.0199324807,2.3
488,87200000000,2.1570423597,0.0199798517,2.3
489,87225000000,2.1569217193,0.0200245072,2.3
490,87250000000,2.1568009907,0.0200664822,2.3
491,87275000000,2.1566802517,0.0201058141,2.3
492,87300000000,2.1565595759,0.0201425433,2.3
493,87325000000,2.1564390326,0.020176712,2.3
494,87350000000,2.1563186866,0.0202083647,2.3
495,87375000000,2.1561985984,0.0202375475,2.3
496,87400000000,2.1560788241,0.020264308,2.3
497,87425000000,2.155959415,0.0202886951,2.3
498,87450000000,2.1558404184,0.0203107585,2.3
499,87475000000,2.1557218767,0.0203305489,2.3
500,87500000000,2.1556038281,0.0203481174,2.3
501,87525000000,2.1554863065,0.0203635153,2.3
502,87550000000,2.1553693412,0.020376794,2.3
503,87575000000,2.1552529574,0.0203880046,2.3
504,87600000000,2.1551371764,0.020397198,2.3
505,87625000000,2.1550220152,0.0204044243,2.3
506,87650000000,2.154907487,0.0204097328,2.3
507,87675000000,2.1547936013,0.0204131718,2.3
508,87700000000,2.1546803638,0.0204147885,2.3
509,87725000000,2.154567777,0.0204146286,2.3
510,87750000000,2.1544558401,0.0204127363,2.3
511,87775000000,2.1543445491,0.0204091541,2.3
512,87800000000,2.1542338972,0.0204039228,2.3
513,87825000000,2.154123875,0.0203970811,2.3
514,87850000000,2.1540144704,0.0203886658,2.3
515,87875000000,2.1539056693,0.0203787115,2.3
516,87900000000,2.1537974555,0.0203672504,2.3
517,87925000000,2.1536898108,0.0203543127,2.3
518,87950000000,2.1535827157,0.0203399261,2.3
519,87975000000,2.1534761492,0.0203241159,2.3
520,88000000000,2.1533700893,0.0203069049,2.3
521,88025000000,2.1532645131,0.0202883136,2.3
522,88050000000,2.1531593969,0.0202683599,2.3
523,88075000000,2.1530547168,0.0202470595,2.3
524,88100000000,2.1529504487,0.0202244254,2.3
525,88125000000,2.1528465686,0.0202004685,2.3
526,88150000000,2.1527430525,0.0201751973,2.3
527,88175000000,2.1526398773,0.0201486179,2.3
528,88200000000,2.1525370203,0.0201207344,2.3
529,88225000000,2.15243446,0.0200915488,2.3
530,88250000000,2.1523321757,0.0200610611,2.3
531,88275000000,2.1522301484,0.0200292694,2.3
532,88300000000,2.1521283602,0.0199961701,2.3
533,88325000000,2.1520267952,0.0199617579,2.3
534,88350000000,2.1519254392,0.0199260261,2.3
535,88375000000,2.1518242798,0.0198889666,2.3
536,88400000000,2.1517233071,0.0198505701,2.3
537,88425000000,2.1516225132,0.0198108264,2.3
538,88450000000,2.1515218926,0.0197697244,2.3
539,88475000000,2.1514214422,0.0197272522,2.3
540,88500000000,2.1513211617,0.0196833975,2.3
541,88525000000,2.1512210532,0.0196381478,2.3
542,88550000000,2.1511211216,0.0195914902,2.3
543,88575000000,2.1510213744,0.019543412,2.3
544,88600000000,2.1509218222,0.0194939007,2.3
545,88625000000,2.150822478,0.0194429443,2.3
546,88650000000,2.1507233579,0.0193905312,2.3
547,88675000000,2.1506244807,0.0193366508,2.3
548,88700000000,2.1505258678,0.0192812934,2.3
549,88725000000,2.1504275436,0.0192244503,2.3
550,88750000000,2.1503295351,0.0191661145,2.3
551,88775000000,2.1502318718,0.01910628,2.3
552,88800000000,2.1501345858,0.0190449428,2.3
553,88825000000,2.1500377117,0.0189821007,2.3
554,88850000000,2.1499412864,0.0189177532,2.3
555,88875000000,2.1498453491,0.0188519023,2.3
556,88900000000,2.149749941,0.0187845519,2.3
557,88925000000,2.1496551052,0.0187157084,2.3
558,88950000000,2.149560887,0.0186453807,2.3
559,88975000000,2.1494673328,0.0185735803,2.3
560,89000000000,2.149374491,0.0185003213,2.3
561,89025000000,2.1492824111,0.0184256207,2.3
562,89050000000,2.1491911437,0.0183494981,2.3
563,89075000000,2.1491007405,0.0182719763,2.3
564,89100000000,2.1490112539,0.0181930808,2.3
565,89125000000,2.1489227368,0.0181128403,2.3
566,89150000000,2.1488352426,0.0180312862,2.3
567,89175000000,2.1487488247,0.0179484531,2.3
568,89200000000,2.1486635367,0.0178643787,2.3
569,89225000000,2.1485794315,0.0177791034,2.3
570,89250000000,2.1484965621,0.0176926708,2.3
571,89275000000,2.1484149804,0.0176051273,2.3
572,89300000000,2.1483347375,0.0175165222,2.3
573,89325000000,2.1482558836,0.0174269074,2.3
