,freq,circ_pol
237,1455788960000.0,-99.99075708087977
238,1460674160000.0,-99.98920404532605
239,1465559360000.0,-99.98782483118475
240,1470444550000.0,-99.98666346516268
241,1475329750000.0,-99.98574387923745
242,1480214950000.0,-99.98508642174674
243,1485100150000.0,-99.98469577716392
244,1489985340000.0,-99.98451856268102
245,1494870540000.0,-99.98440740744176
246,1499755740000.0,-99.98414813328466
247,1504640940000.0,-99.98355776286597
248,1509526140000.0,-99.98256304219268
249,1514411330000.0,-99.98114388382848
250,1519296530000.0,-99.97913348526683
251,1524181730000.0,-99.97596566470055
252,1529066930000.0,-99.97043438623803
253,1533952130000.0,-99.96049376031209
254,1538837320000.0,-99.94323891736046
255,1543722520000.0,-99.9153718633797
256,1548607720000.0,-99.87432771801906
257,1553492920000.0,-99.81951637594105
258,1558378110000.0,-99.75238512606171
259,1563263310000.0,-99.67447884673409
260,1568148510000.0,-99.58438392874001
261,1573033710000.0,-99.47543659113153
262,1577918910000.0,-99.33534744703294
263,1582804100000.0,-99.1477372408527
264,1587689300000.0,-98.8958188483831
265,1592574500000.0,-98.56878222583464
266,1597459700000.0,-98.16994420411172
