,freqs,n_s,n_p,bf
73,76825000000.0,1.2164635751238697,1.3059150742694754,0.08945149914560568
74,76850000000.0,1.2165085150940744,1.3059952251532498,0.08948671005917541
75,76875000000.0,1.2165551362403386,1.3060786185412536,0.089523482300915
76,76900000000.0,1.2165998970290488,1.3061583905306047,0.08955849350155587
77,76925000000.0,1.216642153770326,1.3062332941786554,0.08959114040832938
78,76950000000.0,1.2166818712189897,1.306303259600725,0.08962138838173517
79,76975000000.0,1.216719020100343,1.3063682286670015,0.08964920856665848
80,77000000000.0,1.216753577060758,1.3064281549209529,0.08967457786019484
81,77025000000.0,1.2167855246146673,1.3064830034887103,0.089697478874043
82,77050000000.0,1.2168148510755612,1.3065327509553872,0.08971789987982604
83,77075000000.0,1.216841550484531,1.3065773852344267,0.08973583474989577
84,77100000000.0,1.2168656225254375,1.306616905408863,0.08975128288342549
85,77125000000.0,1.216887072430702,1.3066513215521633,0.08976424912146141
86,77150000000.0,1.2169059108823244,1.3066806545375949,0.0897747436552705
87,77175000000.0,1.2169221538991994,1.306704935818822,0.08978278191962263
88,77200000000.0,1.2169358227177993,1.3067242071954845,0.08978838447768522
89,77225000000.0,1.216946943669507,1.3067385205701496,0.08979157690064254
90,77250000000.0,1.216955548035977,1.306747937660646,0.08979238962466884
91,77275000000.0,1.216961671911764,1.3067525297245182,0.0897908578127542
92,77300000000.0,1.2169653560484932,1.3067523772458391,0.08978702119734594
93,77325000000.0,1.2169666456961543,1.306747569614747,0.08978092391859271
94,77350000000.0,1.2169655904326524,1.3067382047825806,0.08977261434992823
95,77375000000.0,1.2169622439904286,1.3067243889099303,0.08976214491950163
96,77400000000.0,1.2169566640718839,1.3067062359916468,0.08974957191976296
97,77425000000.0,1.2169489121626165,1.306683867476526,0.08973495531390951
98,77450000000.0,1.2169390533320634,1.3066574118616,0.08971835852953647
99,77475000000.0,1.2169271560305193,1.306627004278678,0.0896998482481588
100,77500000000.0,1.2169132918828707,1.3065927860739237,0.08967949419105303
101,77525000000.0,1.2168975354751108,1.3065549043730476,0.08965736889793674
102,77550000000.0,1.2168799641299313,1.3065135116251718,0.08963354749524055
103,77575000000.0,1.2168606576875765,1.3064687651568572,0.08960810746928072
104,77600000000.0,1.216839698276229,1.3064208267060868,0.08958112842985777
105,77625000000.0,1.2168171700781185,1.306369861948261,0.08955269187014259
106,77650000000.0,1.2167931590965249,1.3063160400245521,0.08952288092802729
107,77675000000.0,1.2167677529147056,1.30625953305535,0.0894917801406443
108,77700000000.0,1.2167410404567511,1.306200515658269,0.08945947520151787
109,77725000000.0,1.2167131117458847,1.3061391644623077,0.08942605271642301
110,77750000000.0,1.2166840576600044,1.3060756576178523,0.08939159995784784
111,77775000000.0,1.2166539696879681,1.3060101743094013,0.08935620462143312
112,77800000000.0,1.2166229396871409,1.305942894272209,0.08931995458506825
113,77825000000.0,1.216591059636922,1.3058739973026583,0.08928293766573625
114,77850000000.0,1.2165584214024194,1.3058036627898642,0.08924524138744472
115,77875000000.0,1.2165251164887514,1.3057320692308696,0.0892069527421182
116,77900000000.0,1.2164912358089435,1.3056593937737884,0.0891681579648449
117,77925000000.0,1.21645686944768,1.3055858117548533,0.08912894230717328
118,77950000000.0,1.2164221064320218,1.3055114962504981,0.08908938981847636
119,77975000000.0,1.216387034507063,1.3054366176409569,0.08904958313389377
120,78000000000.0,1.2163517399139687,1.3053613431801492,0.08900960326618046
121,78025000000.0,1.2163163071768825,1.3052858365844224,0.08896952940753988
122,78050000000.0,1.2162808188956378,1.3052102576342643,0.08892943873862658
123,78075000000.0,1.2162453555452772,1.3051347617906672,0.08888940624538999
124,78100000000.0,1.216209995280898,1.305059499823532,0.08884950454263407
125,78125000000.0,1.2161748137535517,1.30498461746263,0.08880980370907832
126,78150000000.0,1.2161398839339548,1.304910255065209,0.08877037113125419
